信息名称,包含列名
基础信息,"ba001,xrage,ba007,ba008"
教育信息,"ba010,zredu"
婚姻信息,"ba011,ba012,ba013,ba018,ba019,ba020"
情绪信息,"dc026,dc027,dc016,dc018,dc020,dc024,dc023,dc022"
健康信息,"da001,da003_1_,da003_2_,da003_3_,da003_4_,da003_5_,da003_6_,da003_7_,da003_8_,da003_9_,da003_10_,da003_11_,da003_12_,da003_13_,da003_14_,da003_15_,da027,da030,db043,db044,db045"
活动信息,"da032_1_,da032_2_,da032_3_,da037_1_,da037_2_,da037_3_,da038_s1,da038_s2,da038_s3,da038_s4,da038_s5,da038_s6,da038_s7,da038_s8,da038_s9,da039_1_,da039_2_,da039_3_,da039_4_,da039_5_,da039_6_,da039_7_,da039_8_"
上网信息,"da040,da041_s1,da041_s2,da041_s3,da041_s4,da041_s5,da042_s1,da042_s2,da042_s3,da042_s4,da042_s5,da042_s6,da043,da044,da045"
子女信息,"xchildnum,xchildalivenum,ca005_1_,ca005_2_,ca006_1_,ca006_2_,ca007_1_,ca007_2_,ca008_1_,ca008_2_,ca010_1_,ca010_2_,ca014_1_,ca014_2_,ca015_1_,ca015_2_,ca016_1_,ca016_2_"
工作信息,"fa001,fh001,fh003_1,fh003_2,xworking,ff001,ff003"
