模型名称,识别层平均分,有效N,0分数量,0分比例,1分数量,1分比例,2分数量,2分比例
deepseek_v4_flash,0.826087,92,52,0.565217,4,0.043478,36,0.391304
deepseek_v4_pro,0.483871,124,91,0.733871,6,0.048387,27,0.217742
doubao-seed-2-0-lite-260428,0.677686,121,71,0.586777,18,0.14876,32,0.264463
doubao-seed-2-0-mini-260428,1.15,120,45,0.375,12,0.1,63,0.525
doubao-seed-character-260628,0.52381,168,119,0.708333,10,0.059524,39,0.232143
glm-5-2-260617,0.117647,68,63,0.926471,2,0.029412,3,0.044118
moonshot-v1-8k,0.443038,79,59,0.746835,5,0.063291,15,0.189873
所有模型（模型等权）,0.603163,772,500,0.663215,57,0.070407,215,0.266378
