模型名称,对话数量,唯一ID数,被理解感_平均分,被理解感_标准差,被理解感_有效N,情绪缓解感_平均分,情绪缓解感_标准差,情绪缓解感_有效N,个性化贴合度_平均分,个性化贴合度_标准差,个性化贴合度_有效N,交流舒适度_平均分,交流舒适度_标准差,交流舒适度_有效N,识别层评分_平均分,识别层评分_标准差,识别层评分_有效N,理解层评分_平均分,理解层评分_标准差,理解层评分_有效N,行动层评分_平均分,行动层评分_标准差,行动层评分_有效N
deepseek_v4_flash,92,92,1.876404,0.539786,89,1.853933,0.489679,89,1.921348,0.548235,89,1.932584,0.599199,89,0.826087,0.967706,92,0.576087,0.683136,92,1.576087,0.683136,92
deepseek_v4_pro,127,125,1.857143,0.589431,126,1.904762,0.512696,126,1.992063,0.626048,126,2.126984,0.632255,126,0.483871,0.831141,124,0.677419,0.749508,124,1.653226,0.663133,124
doubao-seed-2-0-lite-260428,121,120,1.438017,0.514661,121,1.561983,0.60405,121,1.694215,0.603365,121,1.702479,0.640893,121,0.677686,0.868091,121,0.669421,0.597054,121,1.809917,0.471064,121
doubao-seed-2-0-mini-260428,121,120,1.214876,0.412444,121,1.239669,0.465918,121,1.330579,0.489701,121,1.446281,0.531514,121,1.15,0.940677,120,0.591667,0.67979,120,1.7,0.559111,120
doubao-seed-character-260628,170,168,1.435294,0.531762,170,1.458824,0.534113,170,1.576471,0.552058,170,1.723529,0.554732,170,0.52381,0.847344,168,0.571429,0.605083,168,1.517857,0.72569,168
glm-5-2-260617,72,72,1.75,0.622354,72,1.708333,0.567612,72,1.888889,0.617937,72,1.944444,0.602551,72,0.117647,0.441484,68,0.514706,0.680049,68,0.852941,0.86843,68
moonshot-v1-8k,79,79,1.038462,0.193552,78,1.102564,0.305352,78,1.038462,0.193552,78,1.064103,0.246521,78,0.443038,0.796577,79,0.392405,0.564272,79,0.708861,0.718829,79
所有模型（模型等权）,782,168,1.515742,0.324638,777,1.547153,0.30227,777,1.634575,0.348667,777,1.705772,0.357125,777,0.603163,0.325621,772,0.570448,0.097064,772,1.402698,0.436644,772
