模型名称,被理解感,情绪缓解感,个性化贴合度,交流舒适度,识别层评分,理解层评分,行动层评分,用户AI主观平均分,评估AI平均分,已测画像数
deepseek_v4_flash,1.95,1.87,1.90,1.87,1.35,1.25,1.74,1.90,1.45,223
deepseek_v4_pro,1.86,1.87,1.96,2.08,1.19,1.30,1.81,1.94,1.43,319
doubao-seed-2-0-lite-260428,1.52,1.64,1.77,1.78,1.38,1.11,1.88,1.68,1.46,313
doubao-seed-2-0-mini-260428,1.33,1.37,1.45,1.52,1.44,0.97,1.77,1.42,1.39,314
doubao-seed-character-260628,1.50,1.47,1.57,1.77,1.26,1.01,1.68,1.58,1.32,453
glm-4-plus,1.16,1.24,1.19,1.31,1.13,0.95,1.40,1.23,1.16,120
glm-5-2-260617,1.84,1.73,1.94,1.99,0.95,1.25,1.51,1.88,1.24,190
moonshot-v1-8k,1.07,1.15,1.04,1.11,1.12,0.78,0.90,1.09,0.93,224
